"gene_name","log2FoldChange","padj","Significance"
"HSPE1P26",1.71045764759373,0.00108699235822011,"Upregulated"
"CSTP2",1.43742383418636,0.00108905255233812,"Upregulated"
"TRAJ17",1.84943186207402,0.00109196323215412,"Upregulated"
"EEF1B2P4",-1.13203267009569,0.00109481442520677,"Downregulated"
"AC019257.2",1.39133038415831,0.00109481442520677,"Upregulated"
"AL365258.2",1.11966621010622,0.00109504961791447,"Upregulated"
"IGKV2OR2-7",1.49847378785178,0.00109559443325339,"Upregulated"
"AL359693.1",2.30275135915458,0.00110225217905799,"Upregulated"
"AC068282.1",1.3133055718112,0.00110245012259243,"Upregulated"
"LINC02213",-2.05826850392785,0.0011074555673722,"Downregulated"
"AC069243.1",3.38217673853201,0.00110817665213094,"Upregulated"
"RNU6-107P",2.25457707716791,0.00110969906446588,"Upregulated"
"AC007496.1",1.73159365836832,0.00111246885861118,"Upregulated"
"RPL32P26",1.38179821588726,0.00111573791507781,"Upregulated"
"MYLK-AS2",1.76786711289715,0.00111895195093253,"Upregulated"
"HYAL4",1.12520969773173,0.00112249147810181,"Upregulated"
"AL022329.2",2.3304205853679,0.00112292363282257,"Upregulated"
"AC131944.1",1.21734423119929,0.00112338411103717,"Upregulated"
"MAGEB6",2.4360804548857,0.00112358164823678,"Upregulated"
"AC002310.2",1.12173821836504,0.00112487868820321,"Upregulated"
"AC011747.1",1.67058332835412,0.00112562468262222,"Upregulated"
"POM121L6P",1.74672341945537,0.00112957457201562,"Upregulated"
"BRINP1",1.24874845754218,0.00113088416219199,"Upregulated"
"AL162253.1",1.71616813842322,0.00113098442923108,"Upregulated"
"AC010999.2",1.13124907524472,0.00113180868959126,"Upregulated"
"CGB3",1.81588888965573,0.00113258955453463,"Upregulated"
"TRIM40",1.58508595257114,0.0011342344943445,"Upregulated"
"AL358334.3",1.16878405839251,0.00113484859774034,"Upregulated"
"FAF2P1",1.73564501650831,0.00113616015053708,"Upregulated"
"TRAJ10",1.79212965230681,0.00113648479081863,"Upregulated"
"LINC02763",1.15219163907531,0.00113783615887651,"Upregulated"
"EPHA7",1.07008729441668,0.00113821096454075,"Upregulated"
"AC092580.2",1.25084254192012,0.00113849886175899,"Upregulated"
"AL391425.1",1.19468232611385,0.00113898003659924,"Upregulated"
"ZPBP",-1.09150668180212,0.00113926510813154,"Downregulated"
"PHEX-AS1",1.69049184832764,0.00114129757732534,"Upregulated"
"PRDX2P1",1.67817744009879,0.0011489784032077,"Upregulated"
"GAPDHP51",2.22211017738305,0.0011560598068127,"Upregulated"
"AL138889.3",1.27463653748185,0.00115978839486472,"Upregulated"
"AC008033.1",1.09765386175167,0.00116035000796529,"Upregulated"
"AC006518.2",1.29901149652904,0.00116041650164961,"Upregulated"
"NDST4",2.13701565643033,0.00116697885803986,"Upregulated"
"RPS27AP7",1.82152836086819,0.00116742835321488,"Upregulated"
"AC010333.2",1.14939873663381,0.00116803750432429,"Upregulated"
"AL049634.2",-1.23316767515908,0.00116969220702457,"Downregulated"
"AC027584.1",2.00817151205235,0.00117226812900291,"Upregulated"
"AL121990.1",1.17653128473526,0.00117424657846518,"Upregulated"
"HNRNPMP1",1.77465098362942,0.0011743089725432,"Upregulated"
"AP003484.1",-1.09676262330059,0.00117449359647308,"Downregulated"
"KRT18P60",1.52326061004937,0.0011751274921206,"Upregulated"
"AC018511.6",1.25296446033196,0.00117598258448912,"Upregulated"
"AC092625.1",2.62283753564542,0.00118179023673462,"Upregulated"
"ATP5PBP1",2.21096588773661,0.00118241922753197,"Upregulated"
"AC114291.1",1.7713042583141,0.00118562702867537,"Upregulated"
"DNAJC19P8",1.95686894561787,0.00118613369083122,"Upregulated"
"AC092933.2",-1.18440547992259,0.00118613369083122,"Downregulated"
"LRRC3B",-1.05483408011888,0.00119100309963556,"Downregulated"
"RNU6-307P",1.23211755900425,0.00119466334597227,"Upregulated"
"AC084024.2",1.85510053739935,0.0011954124486334,"Upregulated"
"MIR5188",1.32792981825208,0.00119865565869768,"Upregulated"
"AL096803.2",1.06569958020506,0.00119948771214809,"Upregulated"
"AC009975.2",-1.65603533720004,0.00120063600245084,"Downregulated"
"AC096647.1",1.46887003442743,0.00120154025482068,"Upregulated"
"AC092674.1",1.74433968824028,0.00120162672591758,"Upregulated"
"MYH1",-1.13589872967918,0.00120421846368709,"Downregulated"
"AC064847.1",1.02547250611164,0.00120448429682542,"Upregulated"
"RPL21P123",1.27529575239252,0.0012062883020962,"Upregulated"
"PRSS48",1.71845054469138,0.0012062972535794,"Upregulated"
"AC006270.2",3.56755269743595,0.00120693847707927,"Upregulated"
"AC091965.5",1.11196984260036,0.00120736024225849,"Upregulated"
"AC046158.2",1.68697399692721,0.00120812338378681,"Upregulated"
"MIR3657",1.3239013032091,0.0012084166707696,"Upregulated"
"AC003005.2",1.28710291407192,0.00120953392321998,"Upregulated"
"MIR4483",1.51787256254769,0.00121230595567693,"Upregulated"
"MS4A18",1.62920405484661,0.00121465800782278,"Upregulated"
"NOP56P1",1.17562373251615,0.00121521886399157,"Upregulated"
"AC027288.1",-1.07577196856032,0.00122401129940878,"Downregulated"
"PCNAP4",2.11534813964568,0.00122424344291544,"Upregulated"
"OR10AC1",1.34516330584917,0.00122545194931591,"Upregulated"
"AC005920.2",1.68658893960388,0.00122561453876332,"Upregulated"
"SDHDP2",1.34034950076093,0.00122926855207422,"Upregulated"
"AP002381.1",1.03620309499098,0.0012307955360486,"Upregulated"
"TBATA",1.42049702652649,0.00123137709867509,"Upregulated"
"KRT17P4",1.35110638106608,0.00123433404919729,"Upregulated"
"LINC02825",2.16046886925524,0.00123488687343658,"Upregulated"
"MTND4P29",1.94866529651568,0.00123504667845169,"Upregulated"
"SMCO1",1.17072836917782,0.00124106255187205,"Upregulated"
"RNU6ATAC27P",1.16225079172397,0.00124656637507969,"Upregulated"
"RNU4-90P",2.22795049490394,0.00124680306383965,"Upregulated"
"AC092506.1",1.18954551965991,0.00125448607676475,"Upregulated"
"AC022778.1",2.81244343716251,0.00125707303639696,"Upregulated"
"FAM90A26",1.21028528119327,0.00125867110065929,"Upregulated"
"USP12-AS1",2.85473329719767,0.00126008254046104,"Upregulated"
"DDX3P1",1.13850689909929,0.00126024718918933,"Upregulated"
"AC009159.2",1.21175520073004,0.00126307557025675,"Upregulated"
"LINC01192",2.42166366908375,0.001264655410364,"Upregulated"
"AF131215.1",2.6086142166471,0.00126634915097514,"Upregulated"
"AC027243.2",1.65436680429586,0.00126664536503318,"Upregulated"
"AC016251.1",2.31551292458244,0.00126967757937632,"Upregulated"
"BOLA3P2",1.64494397444032,0.00127230581902438,"Upregulated"
"AC087821.2",3.16234788335447,0.00127259338735376,"Upregulated"
"KRT18P62",1.43443910362991,0.00127573985861045,"Upregulated"
"AP000997.4",1.39932745929083,0.00127673512639876,"Upregulated"
"LINC02765",1.19482602722435,0.00128010793111414,"Upregulated"
"IGKV2OR2-7D",1.45299057545281,0.00128200723936028,"Upregulated"
"ASB11",1.09174947781403,0.00128288052039845,"Upregulated"
"RN7SL709P",2.5397463486932,0.00128310343627604,"Upregulated"
"DPRXP1",2.80690478544979,0.00128318679549374,"Upregulated"
"AL391262.1",1.4557950112818,0.00128628473443394,"Upregulated"
"ASS1P14",1.33171566994768,0.00128685141847009,"Upregulated"
"ANKRD20A8P",1.53879543959453,0.00128691029365972,"Upregulated"
"MIR643",1.39459287639007,0.00128795594743613,"Upregulated"
"BMS1P15",1.18112749009224,0.00128795594743613,"Upregulated"
"LINC00581",1.70637751807479,0.00128823498614381,"Upregulated"
"AL022331.1",1.26266857335809,0.00128824909792269,"Upregulated"
"AC072039.1",2.11174727896704,0.00129087059407354,"Upregulated"
"AL162431.3",1.1590696856023,0.00129127982334792,"Upregulated"
"ACNATP",1.89885524450643,0.00129158430360641,"Upregulated"
"AC006206.1",1.98925264526425,0.00129217071433566,"Upregulated"
"SLC5A7",-1.37559874011629,0.00129372858911637,"Downregulated"
"IGLC4",1.56339303805806,0.00129470454653528,"Upregulated"
"AC087749.2",1.70145674783078,0.00129505227413787,"Upregulated"
"RNU6-759P",1.60539143329764,0.00129704282806987,"Upregulated"
"PICSAR",-1.3316231311165,0.00129920788748633,"Downregulated"
"TECTB",1.69356555481834,0.00130348707234707,"Upregulated"
"MIR4644",1.59447290811237,0.00130393132022755,"Upregulated"
"AL353754.1",1.33853254664865,0.00130464967941,"Upregulated"
"AC009269.5",1.06418142609704,0.00131734606200914,"Upregulated"
"LINC01276",1.03823599900565,0.00131903532515324,"Upregulated"
"AC008011.2",-1.20625686310299,0.00132357741541309,"Downregulated"
"TMEM211",1.09358576283858,0.00132448755588052,"Upregulated"
"AC025575.1",2.07341007975683,0.00132654621991892,"Upregulated"
"LINC02697",2.09189571856034,0.00132829662201267,"Upregulated"
"AL645924.2",1.00611144057427,0.00133001120036235,"Upregulated"
"AC022405.1",1.35362547721398,0.00133575350667303,"Upregulated"
"LINC02517",-1.56800728640743,0.00134058946707363,"Downregulated"
"OR1Q1",1.6739894552233,0.00134166669529206,"Upregulated"
"MTND5P25",1.21296882550006,0.00134198372654936,"Upregulated"
"RNU4-35P",-1.49234394278236,0.00134270547334108,"Downregulated"
"AC009407.1",1.16110075573539,0.00134712491651311,"Upregulated"
"AC009229.2",1.11195408638785,0.00135063965483321,"Upregulated"
"AC063926.1",2.37658468754762,0.00135346239787958,"Upregulated"
"AL359502.1",-1.29049108573526,0.00135677923987127,"Downregulated"
"AC025186.1",1.52640721467994,0.00135913724938788,"Upregulated"
"IGKV3OR22-2",1.64446575938069,0.00135913724938788,"Upregulated"
"AC023509.6",1.07353297657463,0.0013628423404134,"Upregulated"
"AL390778.2",-1.28951601591428,0.00136711998495712,"Downregulated"
"AL139274.1",2.70204922863546,0.00136817527356519,"Upregulated"
"AL513475.2",2.64541245691431,0.00136939885334409,"Upregulated"
"MIR624",2.52143130274514,0.00137189010370532,"Upregulated"
"ALPI",2.5122912850791,0.00137537152265165,"Upregulated"
"AL355598.1",1.62954309844933,0.00137668441622179,"Upregulated"
"SOX5-AS1",2.63071755720577,0.00137768844036608,"Upregulated"
"AC140479.3",1.62946032275792,0.00137889248211111,"Upregulated"
"AC137834.2",1.28036375483085,0.00138150025025205,"Upregulated"
"HMGB1P26",-1.02328259241854,0.00138367039070257,"Downregulated"
