"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042698","ovulation cycle","29/4647","71/18870",0.00187281997667785,0.0179423610629351,0.0140653957787412,"PTPRN/CA12/AFP/PGR/OPRK1/TGFB2/AMH/RETN/MDK/EGR1/EREG/PCNA/CGA/NR5A1/LHCGR/SLIT2/ADAMTS1/NPPC/GABRB1/PTX3/NPY5R/KISS1/FZD4/A2M/SLIT3/ROBO2/ZP3/SLC26A6/GDF10",29
"GO:0015908","fatty acid transport","43/4647","116/18870",0.00188212809284615,0.0180039653652072,0.0141136886923712,"PLA2G10/EDN1/PLA2G3/NTSR1/SLC27A6/RBP2/IL1A/PLA2G4A/PLA2G2D/SLC2A1/TNFSF11/KCNJ8/IL1B/PLA2G5/PPARG/SSTR4/NMUR2/SLCO1B1/CD36/SLCO2B1/LHCGR/TNFRSF11A/CRABP2/SLC27A3/PTGES/SLC22A8/PLA2G2F/ACE/FABP7/FABP5/CRABP1/SLC22A11/MFSD2A/PLA2G4F/FABP4/PLA2G1B/SLCO2A1/ERFE/CYP4F2/PLA2G2C/PLA2G2A/AVPR1B/CPT1B",43
"GO:0003014","renal system process","46/4647","126/18870",0.0019138878927323,0.0181989064011104,0.0142665070875578,"SLC4A1/HYAL2/ADGRF5/EDN1/AQP6/PDGFB/CORO2B/ATP6V0A4/WFS1/NPR3/CHRNB4/SGK1/ABCG2/NPPB/AVPR2/RHPN2/INPP5K/HNF1A/AGT/EDNRB/SULF1/AGTR1/PTPRO/CHRNB2/SLC15A2/ADORA1/F2RL1/SLC6A18/TMEM63C/AMN/OR51E2/NPR1/AQP4/CD34/AGTR2/GAS6/CYP4F2/CLCNKA/CLDN4/AKR1C3/TRPV1/STK39/EMP2/AQP1/HBB/GJA5",46
"GO:0001977","renal system process involved in regulation of blood volume","9/4647","14/18870",0.00191414328835208,0.0181989064011104,0.0142665070875578,"PDGFB/CORO2B/PTPRO/ADORA1/F2RL1/GAS6/CYP4F2/EMP2/GJA5",9
"GO:0035630","bone mineralization involved in bone maturation","9/4647","14/18870",0.00191414328835208,0.0181989064011104,0.0142665070875578,"LTF/BMP2/PTH/GREM1/PHOSPHO1/RFLNA/ZNF664-RFLNA/RFLNB/CCDC154",9
"GO:1901160","primary amino compound metabolic process","9/4647","14/18870",0.00191414328835208,0.0181989064011104,0.0142665070875578,"ALDH2/AGMAT/PDE1B/DDC/TPH2/AZIN2/SRD5A1/HTR1A/GRIN2A",9
"GO:0007498","mesoderm development","49/4647","136/18870",0.00191806933806605,0.0182085611213069,0.0142740756266268,"HOXA11/BTK/EYA2/TIE1/FGFR2/TP63/ITGA8/WNT11/DLL3/PUS7/HCK/BMX/FOXF1/AMH/GPI/MEST/LHX2/DKK1/WNT3/TLX2/ITGB4/TBX3/KLF4/SFRP2/CER1/TBX6/HMGA2/POU4F1/GJA1/WNT3A/ZIC3/FOXH1/TAL1/ITGA2/TBXT/TBX20/MESP1/SIX2/OVOL1/HES7/MIXL1/MESP2/TXNRD1/BMPR2/TRIM15/APELA/ITGB3/SCX/LHX1",49
"GO:0007143","female meiotic nuclear division","18/4647","38/18870",0.00192509702657603,0.0182199803301961,0.0142830273856481,"TRIP13/NDC80/AURKA/TTK/NCAPH/EREG/TOP2A/BRME1/RBM46/CCNB2/HSF2BP/MEIOB/DCAF13/PLK1/MEIOC/SYCP2/SPIRE2/TUBB8",18
"GO:0060563","neuroepithelial cell differentiation","18/4647","38/18870",0.00192509702657603,0.0182199803301961,0.0142830273856481,"DLX3/WNT11/LHX3/SOX4/NKX2-2/BMP2/EMX1/FGF2/ASCL1/VAX1/DLG5/DSPP/CDH2/OTP/INSM1/SOX11/GATA2/POU3F2",18
"GO:0048708","astrocyte differentiation","34/4647","87/18870",0.00196703863241158,0.0185888122120345,0.0145721624875267,"PAX6/VIM/LAMC3/MAG/IFNG/NR2E1/PLP1/SOX9/IL1B/NKX2-2/BMP2/LDLR/GFAP/SERPINE2/IL6/TLR4/GCM1/TTBK1/VAX1/TAL1/PLPP3/S100A9/ZEB2/GPR37L1/GAP43/LAMB2/ID4/C1QA/F2/CNTN2/POU3F2/ROR1/C5AR1/AGER",34
