"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042562","hormone binding","39/4787","85/18496",5.25104829230409e-05,0.00090918150432465,0.000744622336788384,"CALCR/ATP1A2/CALCRL/GLP2R/ADCYAP1R1/MLNR/CRYM/ATP1A3/CCKBR/GHR/NPR3/PRLR/VIPR1/TTR/MCHR1/GALR3/RAMP2/RAMP1/RXFP2/EDNRB/LHCGR/CDH13/PTH2R/UCN2/PIK3R1/CRHBP/THRB/PTH1R/CCKAR/GPER1/ALDH1A1/MC4R/MTNR1A/NPR1/RXFP1/MC5R/GALR2/CMKLR2/GCGR",39
"GO:0022848","acetylcholine-gated monoatomic cation-selective channel activity","15/4787","23/18496",8.3216289517305e-05,0.00142053722387287,0.00116342418109442,"CHRNA4/CHRNB4/CHRNA2/CHRND/CHRNA1/CHRNA6/HTR3B/CHRNB2/HTR3A/CHRNA5/CHRNB1/CHRNA9/HTR3C/ZACN/CHRNG",15
"GO:0015291","secondary active transmembrane transporter activity","103/4787","286/18496",8.73867816407622e-05,0.00147101082428616,0.00120476220887776,"SLC25A13/SLC4A1/SLC6A13/SLC6A7/SLC11A1/SLC7A9/SLC9A7/SLC9A3/SLC6A15/CDH17/SLCO1A2/SLC15A1/SLC4A11/SLC26A4/SLC26A3/SLC16A8/SLC5A4/SLC8A3/SLC17A9/SLC25A15/SLC7A5/SLC1A6/SLC5A5/SLC1A1/SLC6A4/SLC16A6/SLC2A9/SLC15A3/SLC22A18/SLC6A12/SLCO1B3/SLC12A7/SLC4A3/SLC30A3/SLC9A2/SLC5A7/SLC1A4/SLC5A9/SLC8A2/SLC16A7/SLC46A2/SLC25A2/SLC12A4/SLC17A1/SLC44A2/SLC6A8/SLC34A1/SLC6A11/SLCO1B1/SLCO2B1/SLCO5A1/SLC28A2/SLC44A5/SLC5A6/SLC39A8/SLC38A4/SLC39A5/SLC24A4/SLC13A5/SLC16A3/SLC6A3/SLC26A1/SLC17A4/SLC39A4/SLC25A25/SLC5A12/SLC22A8/SLC7A11/SLC16A1/SLC24A2/SLC28A1/SLC30A2/SLC13A3/SLC5A11/SLC1A7/SLC16A14/SLC15A2/SLC45A2/SLC6A18/SLC16A9/SLC18A2/SLC22A11/MFSD2A/SLC19A1/SLCO4C1/SLC16A11/SLCO2A1/SLC9A4/SLC35D3/SLC25A21/SLC25A10/SLC18A3/SLC38A3/SLC15A5/SLC30A10/SLC6A17/SLC22A4/SLC28A3/SLC34A3/SLC5A3/SLCO6A1/SLC12A8/SLC26A6",103
"GO:0005342","organic acid transmembrane transporter activity","65/4787","165/18496",9.31132388917598e-05,0.0015459348703673,0.00126612522386344,"SLC7A2/SLC25A13/SLC6A13/SLC6A7/SLC7A9/ABCC2/SLC6A15/ABCB11/CEACAM1/SLCO1A2/ABCB1/SLC26A4/SLC26A3/SLC16A8/SLC25A15/SLC7A5/SLC1A6/SLC1A1/ABCC3/SLC16A6/SLC6A12/SLCO1B3/TSPO2/SLC27A6/SLC1A4/SLC16A7/ABCG2/SLC25A2/ABCC11/SLC6A8/SLC7A10/SLC6A11/SLCO1B1/CD36/SLC5A6/SLC38A4/SLC13A5/SLC16A3/SLC26A1/SLC5A12/SLC7A11/SLC16A1/SLC7A7/SLC13A3/SLC1A7/SLC16A14/SLC6A18/SFXN1/SLC29A4/SLC25A32/SLC7A3/SLC16A9/SLC38A8/MFSD2A/SLC38A11/SLC19A1/SLC16A11/SLC25A21/SLC25A10/SLC51B/SLC38A3/SLC22A4/AKR1C4/SLC23A3/SLC26A6",65
"GO:0008083","growth factor activity","64/4787","162/18496",9.51680890206557e-05,0.0015586989715275,0.0012765790604051,"FGF10/FGF20/THPO/TGFB2/ADA2/IL11/PDGFB/TIMP1/FGF14/AMH/GPI/FGF21/OGN/CXCL12/DKK1/CSF3/MDK/ENDOU/CCN6/HBEGF/THBS4/EFEMP1/REG1A/BMP8B/ARTN/PGF/INHA/EREG/AMELX/BMP2/VGF/GDF15/GMFG/ANGPTL3/AGT/IL6/GH2/FGF5/FGF2/EGF/INHBE/HDGF/LEFTY2/MANF/NRG1/IL34/TFF1/FGF11/FGF19/INHBB/TGFA/PPBP/VEGFD/GDNF/GKN1/INHBC/BDNF/F2/EPGN/BMP8A/NRG3/MIA/GDF2/GDF10",64
"GO:0005506","iron ion binding","61/4787","153/18496",0.000101056042612281,0.00163306564861446,0.00133748558853868,"CYP26B1/LTF/ALOX5/CYP24A1/MSMO1/CYP2W1/PPEF1/P3H2/TF/CYP26A1/CYP2D6/MIOX/ACP5/FA2H/CYP2C18/P3H3/CYP27B1/OGFOD2/PTGIS/BBOX1/EGLN3/CDO1/CYP2E1/FTHL17/CYP27A1/CYP19A1/CYP2C9/TET1/AOX1/TPH2/CYP1A1/CYP1A2/CYP4B1/SNCA/LCN2/CYP17A1/P4HA3/PLOD2/XDH/CYP3A7/CYGB/ALOX15/MELTF/CYP2C19/PAH/RRM2/CYP4F11/ALOXE3/TH/CYP8B1/CYP4F2/CYP4F8/CYP4F3/CYP27C1/AGMO/HBA2/CYP2B6/CYP2F1/CYP2A13/HBA1/CYP21A2",61
"GO:0020037","heme binding","57/4787","141/18496",0.000107865140022672,0.00172016512772998,0.00140882031913268,"CYP26B1/CYP24A1/CYP2W1/NOX4/NOS1/CYP26A1/CYP2D6/FA2H/AMBP/CYP2C18/CYP27B1/HRG/ABCB6/TPO/ADGB/FLVCR2/CAT/PTGIS/CYP2E1/CYP27A1/DUOX1/CYP19A1/CYP2C9/CYP1A1/CYP1A2/CYP4B1/CYP17A1/TDO2/GUCY1A2/CBS/LOC102724560/CYP3A7/CYGB/FLVCR1/STEAP1/CYBB/NGB/CYP2C19/CYB5A/LPO/CYP4F11/CYP8B1/CYP4F2/CYP4F8/CYP4F3/CYP27C1/HBA2/CYP2B6/CYP2F1/CYP2A13/MB/HBA1/HBM/HBD/CYP21A2/HBB/NOX5",57
"GO:0008028","monocarboxylic acid transmembrane transporter activity","30/4787","62/18496",0.000113826319035547,0.00179165582689718,0.00146737141285743,"SLC6A13/ABCB11/CEACAM1/SLCO1A2/SLC16A8/ABCC3/SLC16A6/SLC6A12/SLCO1B3/TSPO2/SLC27A6/SLC1A4/SLC16A7/ABCG2/ABCC11/SLC6A8/SLC6A11/SLCO1B1/CD36/SLC5A6/SLC16A3/SLC5A12/SLC16A1/SLC16A14/SLC16A9/MFSD2A/SLC16A11/SLC51B/AKR1C4/SLC26A6",30
"GO:0004890","GABA-A receptor activity","13/4787","19/18496",0.000121857391077453,0.0018695083289351,0.00153113284191923,"GABRA3/GABRP/GABRE/GABRA4/GABRR2/GABRG2/GABRR1/GABRB1/GABRG3/GABRR3/GABRA5/GABRD/GABRQ",13
"GO:0004970","ionotropic glutamate receptor activity","13/4787","19/18496",0.000121857391077453,0.0018695083289351,0.00153113284191923,"GRIN2D/GRIK5/GRIN3B/GRIA2/GRIK4/GRID2/GRIA4/GRIA1/GRIN2C/GRIK2/GRIN1/GRID1/GRIN2A",13
