"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"hsa04519","Cadherin signaling","151/2389","404/9422",3.23528227407582e-08,1.02940799629685e-06,8.32814288733392e-07,"WNT16/USH1C/CELSR3/GABRA3/WWTR1/VIM/FLT4/CDH1/CDH10/DSG2/PKP2/CDH3/CTNNA2/CDH19/WNT8B/CDH17/CDH7/PKP1/PCDHA6/FAT1/WNT11/FAT2/GABRP/KRT31/DSP/PCDH11Y/NFKBIA/CDH20/GABRE/PCDH11X/MET/WNT2/CDH23/KRT23/WNT3/KRT32/GABRA4/KRT18/FZD10/GABRR2/WASF1/GABRG2/PCDH12/WNT6/PCDH17/PCDHB8/NCKAP1L/KRT36/RRAS/KRT17/CDH15/KRT34/KRT33B/WNT2B/DSG3/DSG1/DSC1/WNT10A/PCDH8/CIB2/MYO7A/PCDH10/PRICKLE1/CDH24/CDH13/MYO1F/PSEN2/WNT9A/CDH18/GABRR1/TMC2/SCN2B/PCDH15/LATS2/GJA1/CDH12/WNT3A/WNT7A/LHFPL4/MRAS/GABRB1/PRICKLE2/TMC1/FAT3/AMOTL1/SCN3B/DCHS1/KRT80/KRT1/KRT24/RAC3/PCDH7/WNT10B/KRT8/KRT78/KRT86/KRT75/KRT6C/KRT4/KRT72/KRT83/CDH2/KRT19/KRT15/KRT38/KRT9/KRT20/KRT27/FZD4/DSG4/DES/SCN4B/CDH5/TMIE/USH1G/GABRG3/LHFPL1/GABRR3/LHFPL6/SCN5A/PCDH9/PKP3/KRT6B/KRT79/GABRA5/KRT3/KRT16/KRT14/KRT12/LHFPL3/GABRD/FZD9/FAT4/KRT39/LHFPL5/KRT40/PCDHGA1/PCDHA9/PCDHA8/PCDHA7/PCDHA5/PCDHA4/KRT6A/KRT81/PCDHGC3/PCDHA11/PCDHA12/PCDHGA12/PCDHGA8/PCDHGB7/GABRQ",151
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","25/2389","41/9422",1.43502977474564e-06,4.01412320367265e-05,3.24751621590359e-05,"GABRA3/GABRP/CHRNA4/GABRE/GRIN2D/GABRA4/GABRR2/GABRG2/GRIN3B/GRIA2/GABRR1/CHRNA6/CACNA1B/GRIA4/GRIA1/CHRNB2/GRIN2C/GABRB1/GRIN1/GABRG3/GABRR3/GRIN2A/GABRA5/GABRD/GABRQ",25
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","47/2389","99/9422",1.49096004707841e-06,4.01412320367265e-05,3.24751621590359e-05,"ITGAL/KRT31/KRT23/KRT32/SELPLG/KRT18/KRT36/MASP1/KRT17/KRT34/KRT33B/DSG1/C1QC/FCGR3B/CAMP/DEFA5/DEFA4/DEFB1/KRT24/FPR2/FPR1/KRT19/KRT15/KRT38/KRT9/KRT20/KRT27/FGG/DEFB4A/DEFB4B/C1QB/C1QA/SELP/FCAR/KRT16/KRT14/KRT12/KRT39/C5AR1/CFD/HLA-DRB5/FCGR3A/HLA-DOA/HLA-DRA/KRT40/DEFA3/CFB",47
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","43/2389","89/9422",2.30953100748243e-06,5.77382751870608e-05,4.67115669934417e-05,"C8B/C6/F7/CPB2/F11/PLAT/VWF/ADTRP/C7/KNG1/PROC/CFHR3/CR2/PLAU/C4BPB/F10/MASP1/F2RL3/F12/CFHR4/CFHR5/SERPINE2/F13B/SERPING1/VSIG4/C1QC/F2RL2/FGG/FGA/FGB/C1QB/C1QA/A2M/C8G/THBD/F2/PROS1/F8/SERPINA5/C5AR1/CFD/F5/CFB",43
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","18/2389","26/9422",3.17044756463688e-06,7.39771098415272e-05,5.98491505184085e-05,"PAX6/HNF4A/NR5A2/IAPP/NEUROG3/NKX2-2/MNX1/HNF1A/PDX1/PKLR/NEUROD1/SLC2A2/NKX6-1/HNF4G/ONECUT1/FOXA3/BHLHA15/RFX6",18
"Organismal Systems","Sensory system","hsa04742","Taste transduction","41/2389","86/9422",6.02385063419862e-06,0.000131771732623095,0.000106606303986805,"GABRA3/ENTPD2/TRPM5/PKD2L1/GABRA4/P2RX3/GNB3/PDE1B/GRM4/TAS2R3/GNG13/ADCY4/GABBR2/HTR3B/SCN3A/PDE1C/ADCY8/KCNK5/HTR3A/SCNN1G/HTR1E/P2RY1/TAS1R3/TAS1R1/HTR3C/HTR1A/HTR1D/TAS2R60/GABRA5/P2RY4/P2RX2/TAS2R19/TAS2R50/TAS2R13/GNAT3/TAS2R46/TAS2R43/TAS2R45/TAS2R20/TAS2R30/TAS2R38",41
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","41/2389","89/9422",1.71944029938995e-05,0.000354002414580283,0.000286395938412319,"CD44/IBSP/TNC/COL9A2/LAMC3/HMMR/ITGA8/COL4A4/COL9A3/COMP/ITGB8/COL1A1/VWF/COL9A1/THBS4/TNR/SPP1/ITGB4/CD36/CHAD/ITGA11/FRAS1/COL2A1/ITGA10/DSPP/DMP1/MEPE/SV2A/COL6A3/ITGA2/COL1A2/TNXB/NPNT/COL4A3/GP9/LAMB2/COL6A5/THBS2/LAMB3/COL6A6/ITGB3",41
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","85/2389","226/9422",2.57116940440224e-05,0.000495569919303996,0.000400927242985789,"CFTR/ATP1A2/ADRB1/CAMK2B/CNGB1/CAMK2A/EDN1/ADCYAP1R1/CACNA1S/KCNK2/RAPGEF4/HCN2/NFKBIA/MYL9/OXT/LHB/AMH/ATP1A3/GRIN2D/PIK3R2/PDE10A/GCG/GRIN3B/GRIA2/ARAP3/EDN3/SOX9/RRAS/EDN2/ATP1B2/ADCY4/TNNI3/NFATC1/CNGA4/POPDC3/CGA/GABBR2/LHCGR/PLCE1/SSTR1/ATP1B1/ADCY10/CREB3L4/CNGA3/PIK3R1/VIP/CRH/PAK1/GRIA4/GRIA1/ADCY8/SST/HTR6/GIP/GRIN2C/SSTR5/ADCY9/ADORA1/HHIP/TSHR/CHRM1/HTR1E/ADRB2/NPR1/RAC3/CALML6/CNGB3/FOS/BDNF/GRIN1/JUN/CALML3/CALML5/HTR1A/HTR1D/CHRM2/HCAR2/GRIN2A/MC2R/ATP2A1/HCAR1/CNGA1/HCAR3/FXYD1/PDE4C",85
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","56/2389","135/9422",2.69023670479312e-05,0.000495569919303996,0.000400927242985789,"PRKCH/CALCRL/MYLK/PRKCQ/PLA2G10/EDN1/CACNA1S/PLA2G3/AVP/MYL9/CALCA/PLA2G4A/PLA2G2D/ADRA1A/NPPB/RAMP3/EDN3/PRKCG/EDN2/PLA2G5/ADM2/ADCY4/RAMP2/RAMP1/MYH10/MYH11/AGT/MYLK3/AGTR1/GUCY1A2/ADCY8/GNAQ/PLA2G2F/PLA2G4D/PTGIR/ADCY9/ACTG2/NPPC/PPP1R14A/PLA2G4F/NPR1/CALML6/PLA2G1B/KCNMB3/PRKCE/ADRA1D/CALCB/CALML3/CALML5/PRKG1/PLA2G2C/PLA2G2A/MYL6B/KCNMB2/AVPR1B/KCNU1",56
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","106/2389","298/9422",4.43253034540054e-05,0.000775692810445094,0.000627552980480392,"CX3CL1/CCL26/IL20RA/TNFRSF17/TNFRSF9/CXCL2/IL12RB2/THPO/IL5RA/TGFB2/IL11/AMH/CCL24/CXCL12/CSF3/CCL7/CCL2/CCL1/IL23A/IFNG/IL17A/GHR/PRLR/LIFR/IL1A/CCL20/IL1RL2/IL1RL1/IL18R1/LEPR/BMP8B/TNFSF4/CSF3R/TNFSF11/CNTFR/INHA/IL17C/CXCL6/IL1B/IL37/CD70/BMP2/ACKR4/GDF15/CCL25/IL2RA/IL6/GH2/IL36G/IL36A/IL36RN/IL33/IL21/CXCL9/CD27/INHBE/ACVRL1/TNFRSF11A/IL19/IL22RA1/TSLP/CXCL14/TNFRSF21/IFNK/CCL28/CXCL13/IL34/TNFRSF13C/CXCL16/TNFSF13/IL20/INHBB/CXCR1/TGFBR2/CXCL3/PPBP/PF4/IL31RA/CX3CR1/IL7R/IL13/IFNB1/IL17D/CCL19/IL20RB/INHBC/CCR8/CXCR2/IFNL1/CCR3/BMP8A/IFNL2/IFNE/IL3RA/TNFRSF18/IL27/BMPR2/CRLF2/TNFRSF25/TNFSF12/GDF2/GDF10/CCL23/CCL16/CCL18/CCL14",106
"Organismal Systems","Digestive system","hsa04976","Bile secretion","40/2389","90/9422",5.99701325115678e-05,0.00099950220852613,0.000808619831860237,"CFTR/ABCB4/NR1H4/ATP1A2/ABCC2/SLC9A3/ABCB11/SLCO1A2/ABCB1/AQP9/CA2/ATP1A3/ABCC3/UGT2B10/SLCO1B3/SLC2A1/ABCG2/ATP1B2/ADCY4/LDLR/SLCO1B1/UGT2A3/UGT2B28/BAAT/ATP1B1/ABCG8/SLC22A8/ADCY8/ADCY9/UGT1A6/AQP4/SLC51B/UGT2B15/UGT2B11/AQP1/UGT1A1/UGT1A8/UGT1A10/UGT1A7/SLCO1B3-SLCO1B7",40
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","40/2389","91/9422",8.11223860357354e-05,0.00129058341420488,0.00104411109299583,"GABRA3/GABRP/GABRE/GABRA4/GNB3/GABRR2/OPRM1/PDE10A/PDE8B/GABRG2/KCNJ5/PDE1B/PRKCG/GNG13/GNG11/GNGT1/PDE11A/ADCY4/GABBR2/ARRB1/GABRR1/CACNA1B/PDE1C/ADCY8/KCNJ6/ADCY9/GNG3/GABRB1/ADORA1/GNGT2/GNG4/GNG7/GABRG3/GABRR3/GABRA5/PDE2A/GABRD/GRK5/GABRQ/PDE4C",40
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","32/2389","69/9422",0.000120331888923143,0.00183113744013479,0.00148143149292108,"CYP26B1/HSD17B6/CYP2W1/CYP26A1/CYP2C18/UGT2B10/RPE65/RDH10/LRAT/UGT2A3/UGT2B28/BCO1/CYP2C9/AOX1/CYP1A1/CYP1A2/AWAT2/CYP3A7/ALDH1A1/UGT1A6/CYP27C1/ADH1A/ADH1B/UGT2B15/CYP2B6/ADH4/UGT2B11/UGT1A1/UGT1A8/UGT1A10/UGT1A7/ADH1C",32
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","30/2389","64/9422",0.000153193287038744,0.00223406876931502,0.00180741202690448,"ALOX5/PLA2G10/PLA2G3/PTGR1/PTGDS/PLA2G4A/PLA2G2D/PTGIS/PLA2G5/CYP2E1/CYP2C9/PTGES/PLA2G2F/CBR1/CBR3/PLA2G4D/ALOX15/HPGDS/CYP2C19/PLA2G4F/PLA2G1B/ALOXE3/CYP4F2/CYP4F8/CYP4F3/PLA2G2C/PLA2G2A/AKR1C3/CYP2B6/LTC4S",30
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","61/2389","160/9422",0.000222175640336596,0.00311045896471235,0.00251643146318082,"ITGAL/SELE/CLDN11/VCAN/CDH1/CDH3/CLDN18/ITGA8/SIGLEC1/MAG/ITGB8/VSIR/ICAM2/NECTIN1/SELPLG/LRRC4/CDH15/LRRC4B/VTCN1/CLDN10/IGSF11/ESAM/PTPRD/JAM2/CLDN12/CLDN14/JAML/NTNG1/CADM3/NFASC/CTLA4/CLDN19/CLDN3/SLITRK5/CLDN2/JAM3/SDC2/CDH2/NEGR1/PTPRM/CD34/SELP/CNTNAP2/SLITRK1/CDH5/TIGIT/CADM1/CLDN5/CNTN2/CLDN6/CLDN24/SLITRK2/CLDN4/SPN/HLA-DRB5/L1CAM/HLA-DOA/HLA-DRA/HLA-E/CLDN9/PECAM1",61
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","33/2389","75/9422",0.000324287630844354,0.00436541041521246,0.00353171549381099,"CPS1/OTC/ALDH18A1/PFKP/ASNS/ENO1/ARG2/PYCR3/ENO3/GAPDH/TPI1/CTH/ARG1/PSAT1/SDS/ALDOB/PKLR/PSPH/ALDOA/TKTL2/MAT1A/CBS/LOC102724560/GPT2/GPT/PAH/PC/IDH2/SHMT2/PYCR1/ENO4/RPEL1/ACY1",33
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","22/2389","44/9422",0.000369713702702022,0.00479258503502621,0.00387730939675805,"NPC1L1/PLA2G10/APOB/PLA2G3/MOGAT3/APOA4/PLA2G2D/APOA1/PLA2G5/CD36/CLPS/PLPP2/ABCG8/PLA2G2F/PLPP3/MOGAT2/CEL/PLA2G1B/LIPF/PNLIPRP1/PLA2G2C/PLA2G2A",22
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","37/2389","89/9422",0.000565520194162048,0.0070690024270256,0.00571898241464627,"SLC6A13/GABRA3/CACNA1S/GABRP/GABRE/GABRA4/SLC6A12/GNB3/GABRR2/GABRG2/PLCL1/PRKCG/GNG13/GNG11/GNGT1/GAD1/ADCY4/SLC6A11/GLS2/GABBR2/GABRR1/CACNA1B/ADCY8/KCNJ6/ADCY9/GNG3/GABRB1/GNGT2/GNG4/HAP1/GNG7/GABRG3/GABRR3/GABRA5/GABRD/SLC38A3/GABRQ",37
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","39/2389","97/9422",0.0008910463681348,0.0107540078912821,0.00870023495565377,"CACNA1G/CAMK2B/CAMK2A/ADCYAP1R1/NOS1/CACNA1I/GRIN2D/RASD1/GNB3/GRIA2/KCNJ5/PRKCG/GNG13/GNG11/GNGT1/ADCY4/PRKG2/ADCY10/GUCY1A2/GRIA4/GRIA1/ADCY8/GNAQ/KCNJ6/GRIN2C/ADCY9/GNG3/GNGT2/GNG4/MTNR1A/CALML6/FOS/GNG7/GRIN1/CALML3/CALML5/PER1/GRIN2A/PRKG1",39
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","31/2389","73/9422",0.00101040972938754,0.0117881135095213,0.00953684972649995,"FMO3/FMO1/MAOB/FMO2/CYP2D6/ALDH3A1/UGT2B10/CYP2E1/ALDH3B2/GSTM5/UGT2A3/UGT2B28/CYP2C9/AOX1/CYP1A2/HPGDS/CYP2C19/UGT1A6/GSTA3/GSTA5/ADH1A/ADH1B/UGT2B15/CYP2B6/ADH4/UGT2B11/UGT1A1/UGT1A8/UGT1A10/UGT1A7/ADH1C",31
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","86/2389","254/9422",0.00133719513952971,0.0150973644785613,0.012214108405212,"CACNA1G/TBXA2R/FLT4/ADRB1/CAMK2B/MYLK/FGFR2/PHKA1/FGF10/CAMK2A/FGF20/CACNA1S/P2RX5/ITPKC/NOS1/MCOLN1/P2RX6/PDGFB/CACNA1I/SLC8A3/NFATC4/NTSR1/TNNC2/GRIN2D/FGF21/MET/PPIF/P2RX1/P2RX3/CCKBR/TNNC1/GRIN3B/SLC8A2/CASQ2/ADRA1A/PTGFR/PDE1B/PRKCG/ADCY4/NFATC1/HTR2B/EDNRB/ITPKA/LHCGR/PLCE1/FGF5/FGF2/EGF/PLCZ1/NTRK3/MYLK3/AGTR1/HTR2C/NTRK2/CACNA1B/PDE1C/ADCY8/GNAQ/HTR6/FGFR4/GRIN2C/ADCY9/FGF19/TGFA/CCKAR/MST1R/VEGFD/RET/CHRM1/GDNF/ADRB2/CALML6/ADRA1D/MST1/TRHR/GRIN1/CALML3/CALML5/ERBB4/CHRM2/GRIN2A/P2RX2/ATP2A1/AVPR1B/CACNA1E/ASPH",86
NA,NA,"hsa04518","Integrin signaling","56/2389","154/9422",0.0014820569404285,0.0154747890303148,0.0125194533809163,"ITGAL/IBSP/FLT4/CDH1/TNC/COL9A2/LAMC3/LIMS2/FERMT2/ITGA8/COL4A4/COL9A3/PDGFB/FERMT1/PIK3R2/COMP/ITGB8/MET/ICAM2/COL1A1/VWF/COL9A1/THBS4/TNR/SPP1/CCND2/PGF/ARHGEF6/ITGB4/CHAD/ITGA11/FRAS1/EGF/COL2A1/ITGA10/PIK3R1/FERMT3/DSPP/DMP1/COL6A3/ITGA2/COL1A2/VEGFD/TNXB/NPNT/COL4A3/RAC3/FGG/FGA/FGB/LAMB2/COL6A5/THBS2/LAMB3/COL6A6/ITGB3",56
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","37/2389","93/9422",0.0014960112156535,0.0154747890303148,0.0125194533809163,"ATP1A2/ADRB1/NOS1/LYZ/CST4/KCNN4/ATP1A3/BST1/MUC5B/ADRA1A/PRB2/PRKCG/ATP1B2/ADCY4/PRH2/PRKG2/ATP1B1/GUCY1A2/ADCY8/GNAQ/AQP5/ADCY9/CAMP/LPO/ADRB2/CALML6/CST5/CST2/CST1/ADRA1D/CALML3/CALML5/PRKG1/DMBT1/MUC5AC/VAMP2/PRB1",37
