"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","22/2389","50/9422",0.0030873760098482,0.0245586728056107,0.0198685202547648,"ITGAL/SELE/TGFB2/COMP/MET/CSF3/CCL2/IFNG/THBS4/IL1B/CD36/IL6/GYPC/TLR4/SDC2/SELP/THBS2/HBA2/HBA1/ACKR1/HBB/PECAM1",22
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","17/2389","36/9422",0.00366998361127067,0.0285443169765496,0.0230929962908025,"ST6GALNAC1/ST6GALNAC2/GALNT16/GALNTL5/GALNT7/GALNT18/GALNT5/GALNT6/GCNT3/GALNT13/GALNT14/GALNTL6/GCNT4/B3GNT3/ST6GALNAC3/B3GNT6/GALNT4",17
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","19/2389","42/9422",0.00398361361456448,0.0303101035890776,0.0245215574901109,"AOC1/MAOB/IL4I1/ALDH2/KYNU/KMO/CAT/AANAT/DDC/ALDH1B1/AOX1/TPH2/CYP1A1/CYP1A2/TDO2/ACMSD/KYAT1/DHTKD1/INMT",19
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","30/2389","76/9422",0.00460158895602855,0.0341192501014171,0.0276032429391916,"CFTR/ATP1A2/CAMK2B/MYLK/CAMK2A/KCNK2/KCNK10/CA2/ATP1A3/ATP4A/CCKBR/PRKCG/ATP1B2/ADCY4/MYLK3/ATP1B1/KCNJ1/KCNJ16/ADCY8/GNAQ/SST/KCNJ15/ADCY9/CALML6/KCNJ10/CALML3/CALML5/SLC9A4/GAST/ATP4B",30
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","15/2389","31/9422",0.00467921144248005,0.0341192501014171,0.0276032429391916,"MIOX/UGT2B10/UGDH/ALDH2/KL/UGT2A3/UGT2B28/ALDH1B1/UGT1A6/UGT2B15/UGT2B11/UGT1A1/UGT1A8/UGT1A10/UGT1A7",15
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","27/2389","67/9422",0.00502667535461384,0.0350594796993931,0.0283639098921406,"PFKP/ENO1/GPI/GAPDHS/ENO3/ALDH3A1/ALDH2/GAPDH/TPI1/LDHB/PCK1/G6PC1/ALDH3B2/LDHA/ALDOB/ALDH1B1/PKLR/ALDOA/G6PC2/HKDC1/HK3/FBP1/ADH1A/ENO4/ADH1B/ADH4/ADH1C",27
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","12/2389","23/9422",0.00520686189001719,0.0350594796993931,0.0283639098921406,"ATP1A2/SLC9A3/CA2/ATP1A3/PCK1/ATP1B2/GLS2/ATP1B1/CA4/SLC25A10/SLC38A3/AQP1",12
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","17/2389","37/9422",0.00520883698390983,0.0350594796993931,0.0283639098921406,"XYLB/UGT2B10/UGDH/KL/UGT2A3/UGT2B28/SORD/UGT1A6/UGT2B15/AKR1B10/UGT2B11/AKR1B15/RPEL1/UGT1A1/UGT1A8/UGT1A10/UGT1A7",17
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","17/2389","37/9422",0.00520883698390983,0.0350594796993931,0.0283639098921406,"MAOB/TYR/IL4I1/TYRP1/ALDH3A1/HGD/TPO/AOC3/DDC/ALDH3B2/AOX1/PNMT/TH/ADH1A/ADH1B/ADH4/ADH1C",17
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","13/2389","26/9422",0.00586640127565891,0.0387403857826532,0.0313418459414547,"APOB/SLC52A3/APOA4/RBP2/APOA1/LRAT/MMACHC/CBLIF/SLC19A3/SLC5A6/AWAT2/AMN/SLC19A1",13
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","18/2389","41/9422",0.00733828232159884,0.0475629409733258,0.0384794920957132,"MAOB/GCAT/DAO/AGXT2/CTH/GAMT/AOC3/DMGDH/PSAT1/SDS/GCSH/BHMT/PSPH/ALAS2/CBS/LOC102724560/GLDC/SHMT2",18
